ID,Type,Ship,Rarity,HP,FP,TRP,AVI,AA,RLD,EVA,Armor,SPD,ACC,LCK,ASW,OIL,OXY,AMO,Faction
001,DD,Universal Bulin,Elite,237,23,23,23,23,118,118,Light,35,118,100,34,3,0,0,Universal
002,DD,Prototype Bulin MKII,Super Rare,237,23,23,23,23,118,118,Light,35,118,100,34,3,0,0,Universal
003,DD,Specialized Bulin Custom MKIII,Ultra Rare,237,23,23,23,23,118,118,Light,35,118,100,34,3,0,0,Universal
004,DD,Dewey,Rare,1687,75,283,0,189,191,210,Light,44,194,72,187,8,0,0,Eagle Union
005,DD,Cassin,Common,1777,77,287,0,171,193,210,Light,44,205,66,184,7,0,0,Eagle Union
006,DD,Downes,Common,1777,77,287,0,171,193,210,Light,44,205,63,184,7,0,0,Eagle Union
007,DD,Gridley,Rare,1854,74,444,0,177,204,210,Light,46,218,72,204,8,0,0,Eagle Union
008,DD,Craven,Common,1818,73,434,0,175,199,210,Light,46,218,72,195,8,0,0,Eagle Union
009,DD,McCall,Common,1766,73,434,0,175,199,210,Light,43,218,69,195,8,0,0,Eagle Union
010,DD,Maury,Elite,1853,77,454,0,182,210,256,Light,43,218,69,206,9,0,0,Eagle Union
011,DD,Fletcher,Rare,2128,87,287,0,176,199,207,Light,43,212,73,209,8,0,0,Eagle Union
013,DD,Charles Ausburne,Elite,2164,88,295,0,182,218,205,Light,42,233,82,215,9,0,0,Eagle Union
014,DD,Thatcher,Rare,2086,87,287,0,176,212,205,Light,42,222,65,209,8,0,0,Eagle Union
015,DD,Aulick,Common,2046,84,282,0,174,207,205,Light,42,222,62,206,7,0,0,Eagle Union
016,DD,Foote,Common,2046,84,282,0,174,199,205,Light,42,222,67,206,7,0,0,Eagle Union
017,DD,Spence,Common,2046,84,282,0,174,199,205,Light,42,222,20,206,7,0,0,Eagle Union
018,DD,Benson,Rare,1870,89,324,0,175,207,210,Light,45,207,72,196,8,0,0,Eagle Union
019,DD,Laffey,Elite,2029,102,306,0,180,223,210,Light,45,230,18,202,9,0,0,Eagle Union
026,DD,Sims,Rare,1859,82,290,0,175,207,206,Light,42,200,45,211,8,0,0,Eagle Union
027,DD,Hammann,Rare,1859,82,290,0,175,207,206,Light,42,200,47,211,8,0,0,Eagle Union
028,DD,Eldridge,Super Rare,1762,82,386,0,187,234,271,Light,25,218,75,229,10,0,0,Eagle Union
029,CL,Omaha,Common,3312,144,210,0,287,185,127,Light,35,156,67,82,8,0,0,Eagle Union
030,CL,Raleigh,Common,3312,144,210,0,287,185,127,Light,35,156,82,82,8,0,0,Eagle Union
031,CL,Brooklyn,Rare,3550,166,0,0,313,183,106,Light,32,162,55,100,9,0,0,Eagle Union
032,CL,Phoenix,Rare,3550,166,0,0,313,183,106,Light,32,162,88,97,9,0,0,Eagle Union
033,CL,Helena,Elite,3688,174,0,0,323,188,106,Light,32,180,33,111,10,0,0,Eagle Union
034,CL,Atlanta,Rare,3598,131,159,0,431,181,112,Light,32,173,12,190,9,0,0,Eagle Union
035,CL,Juneau,Rare,3598,131,159,0,431,181,112,Light,32,173,18,190,9,0,0,Eagle Union
036,CL,San Diego,Super Rare,3842,139,170,0,458,193,112,Light,32,173,85,204,11,0,0,Eagle Union
037,CL,Cleveland,Elite,4406,167,0,0,330,191,109,Light,32,168,71,102,10,0,0,Eagle Union
038,CL,Columbia,Elite,4406,170,0,0,330,190,109,Light,32,167,70,102,10,0,0,Eagle Union
039,CA,Pensacola,Common,3366,235,0,0,202,162,57,Light,26,121,75,0,9,0,0,Eagle Union
040,CA,Salt Lake City,Common,3366,235,0,0,202,162,57,Light,26,121,71,0,9,0,0,Eagle Union
041,CA,Northampton,Rare,3424,243,0,0,209,169,55,Light,26,125,27,0,10,0,0,Eagle Union
042,CA,Chicago,Rare,3471,243,0,0,209,169,55,Light,26,125,32,0,10,0,0,Eagle Union
043,CA,Houston,Elite,3525,250,0,0,215,174,55,Light,26,125,49,0,11,0,0,Eagle Union
044,CA,Portland,Rare,4671,207,0,0,251,172,61,Medium,26,129,78,0,10,0,0,Eagle Union
045,CA,Indianapolis,Elite,4843,213,0,0,257,177,61,Medium,26,129,23,0,11,0,0,Eagle Union
046,CA,Astoria,Elite,3971,221,0,0,231,163,59,Medium,26,125,15,0,11,0,0,Eagle Union
047,CA,Quincy,Elite,4107,221,0,0,235,163,59,Medium,26,129,9,0,11,0,0,Eagle Union
048,CA,Vincennes,Elite,4107,221,0,0,235,163,59,Medium,26,125,12,0,11,0,0,Eagle Union
049,CA,Wichita,Elite,3795,271,0,0,227,182,51,Light,26,135,70,0,11,0,0,Eagle Union
050,CA,Baltimore,Super Rare,4697,274,0,0,266,186,59,Medium,26,139,56,0,12,0,0,Eagle Union
052,BB,Nevada,Common,7140,383,0,0,206,134,26,Heavy,20,70,75,0,12,0,0,Eagle Union
053,BB,Oklahoma,Common,7121,383,0,0,206,134,26,Heavy,20,70,38,0,12,0,0,Eagle Union
054,BB,Pennsylvania,Rare,7366,395,0,0,217,139,28,Heavy,21,72,72,0,13,0,0,Eagle Union
055,BB,Arizona,Elite,7307,405,0,0,223,141,28,Heavy,21,72,17,0,14,0,0,Eagle Union
058,BB,Tennessee,Rare,7561,396,0,0,215,141,29,Heavy,21,71,51,0,13,0,0,Eagle Union
059,BB,California,Rare,7561,396,0,0,215,141,29,Heavy,21,71,36,0,13,0,0,Eagle Union
060,BB,Colorado,Elite,7633,415,0,0,221,151,31,Heavy,21,71,67,0,14,0,0,Eagle Union
061,BB,Maryland,Elite,7692,410,0,0,221,148,31,Heavy,21,66,70,0,14,0,0,Eagle Union
062,BB,West Virginia,Elite,7633,415,0,0,221,151,31,Heavy,21,72,61,0,14,0,0,Eagle Union
063,BB,North Carolina,Super Rare,8038,426,0,0,409,161,34,Heavy,28,72,81,0,15,0,0,Eagle Union
064,BB,Washington,Super Rare,8271,426,0,0,409,161,34,Heavy,28,72,89,0,15,0,0,Eagle Union
065,BB,South Dakota,Super Rare,8221,419,0,0,409,161,34,Heavy,27,74,76,0,15,0,0,Eagle Union
068,BB,New Jersey,Ultra Rare,9745,453,0,0,438,172,40,Heavy,33,76,72,0,17,0,0,Eagle Union
070,CVL,Long Island,Rare,4802,0,0,284,263,185,68,Medium,16,88,68,102,10,0,0,Eagle Union
071,CVL,Bogue,Common,4048,0,0,282,257,181,69,Medium,18,88,78,150,9,0,0,Eagle Union
072,CVL,Langley,Common,4566,0,0,207,251,125,83,Medium,15,83,32,97,9,0,0,Eagle Union
073,CV,Lexington,Elite,7072,0,0,402,310,112,58,Medium,33,95,35,0,12,0,0,Eagle Union
074,CV,Saratoga,Elite,7072,0,0,402,310,112,58,Medium,33,95,66,0,12,0,0,Eagle Union
